Date,AAPL,ABNB,AMZN,BA,GOOGL,HPQ,MCD,MSFT,NVDA,TSLA,^GSPC,RF,Mkt_RF,AAPL_RF,ABNB_RF,AMZN_RF,BA_RF,GOOGL_RF,HPQ_RF,MCD_RF,MSFT_RF,NVDA_RF,TSLA_RF
2021-01-05,0.012363891376538705,0.06575644668788305,0.010004358381754175,0.043952267208251294,0.00806426280255046,0.014516940797097977,0.005993860878151125,0.000964566214261664,0.022209907345293045,0.007317368906131216,0.007082595157549276,3.5714285714285714e-06,0.007079023728977848,0.012360319947967276,0.06575287525931163,0.010000786953182746,0.043948695779679865,0.00806069137397903,0.014513369368526548,0.005990289449579697,0.0009609947856902355,0.022206335916721616,0.007313797477559788
2021-01-06,-0.03366174183878612,-0.03728926949089051,-0.024896614147709384,-0.0028351655704391687,-0.009867563164709381,0.020441543404298157,-0.0022696727096161995,-0.02592939974781361,-0.05895302415423165,0.028390302267496503,0.005709842747752214,3.5714285714285714e-06,0.005706271319180786,-0.03366531326735755,-0.03729284091946194,-0.024900185576280813,-0.0028387369990105975,-0.00987113459328081,0.020437971975726728,-0.0022732441381876282,-0.025932971176385038,-0.05895659558280308,0.028386730838925074
2021-01-07,0.03412312360407066,0.0595363153718107,0.0075771277744003385,0.007960991064248413,0.029868559882631818,0.03165066548539608,0.0046443084265130885,0.028457139143285737,0.057830401684699995,0.07944656360858104,0.014847403800101189,3.5714285714285714e-06,0.01484383237152976,0.03411955217549923,0.05953274394323927,0.00757355634582891,0.007957419635676984,0.02986498845406039,0.03164709405682465,0.00464073699794166,0.028453567714714308,0.057826830256128565,0.07944299218000962
2021-01-08,0.008631409214972408,-0.00991604387938183,0.006495514374673217,-0.013210534195331691,0.013238900272304788,-0.008543680715437874,0.01835083684311245,0.0060928127404145105,-0.005039873888572632,0.07840299470467449,0.005491862685268911,3.1746031746031746e-06,0.005488688082094308,0.008628234611797804,-0.009919218482556435,0.006492339771498614,-0.013213708798506295,0.013235725669130184,-0.008546855318612477,0.018347662239937848,0.0060896381372399075,-0.0050430484917472354,0.07839982010149989
2021-01-11,-0.023248819008605315,-0.010950119135103686,-0.021519462280005563,-0.014816582662147804,-0.023105933999423067,0.009792495660399858,-0.007597262981794639,-0.009698616406022098,0.02596642611953537,-0.07821411721500826,-0.006554750898592476,3.1746031746031746e-06,-0.006557925501767079,-0.023251993611779917,-0.01095329373827829,-0.021522636883180166,-0.014819757265322408,-0.02310910860259767,0.009789321057225254,-0.007600437584969242,-0.009701791009196702,0.025963251516360766,-0.07821729181818286
2021-01-12,-0.0013954874749773083,0.08553296260922094,0.002125797051401035,0.007834084958525667,-0.010738473890383293,0.005042625881441776,-0.012276436649581668,-0.011770642552187183,-0.010039358552983435,0.047152947996006445,0.0004157884466327033,3.5714285714285714e-06,0.00041221701806127474,-0.0013990589035487368,0.08552939118064952,0.002122225622829606,0.007830513529954237,-0.010742045318954722,0.005039054452870347,-0.012280008078153097,-0.011774213980758612,-0.010042929981554864,0.047149376567435015
2021-01-13,0.01622645725258387,0.057151755391747106,0.014438406874172749,-0.005757866355530994,0.005652139374339615,-0.007719101550227259,0.0023157761653735953,0.0065602733114635825,0.0034852672320191402,0.005850950889994211,0.0022756417379066196,3.5714285714285714e-06,0.002272070309335191,0.01622288582401244,0.057148183963175676,0.01443483544560132,-0.005761437784102422,0.005648567945768187,-0.007722672978798687,0.0023122047368021666,0.006556701882892154,0.0034816958034477115,0.005847379461422783
2021-01-14,-0.015126966477722936,0.061827131991348594,-0.012135545173177387,0.013030244007329994,-0.009346245910306639,-0.003500525992158887,-0.01692675881344219,-0.015346359391317566,-0.02449752561623697,-0.011013523157297866,-0.0037534511943366766,3.5714285714285714e-06,-0.0037570226229081054,-0.015130537906294365,0.061823560562777165,-0.012139116601748816,0.013026672578758565,-0.009349817338878068,-0.003504097420730316,-0.016930330242013618,-0.015349930819888995,-0.0245010970448084,-0.011017094585869296
2021-01-15,-0.013730546573611946,-0.06221604281185078,-0.007424600125642833,-0.026630442762931694,-0.00190649854095859,-0.01756448018426149,0.006762805065634092,-0.0017368101890862242,-0.02581401058746957,-0.02229585445953408,-0.007190027975370938,3.5714285714285714e-06,-0.007193599403942367,-0.013734118002183375,-0.06221961424042221,-0.007428171554214261,-0.026634014191503123,-0.0019100699695300185,-0.017568051612832918,0.006759233637062664,-0.0017403816176576527,-0.025817582016041,-0.02229942588810551
2021-01-19,0.005427290575244381,0.02611211707557337,0.005318518294228358,0.03127446730906125,0.032906697010639085,-0.0011918133912771633,-0.003906817614410252,0.01782276049974163,0.012889342412451432,0.022259629183488006,0.008136379515524483,3.5714285714285714e-06,0.008132808086953054,0.005423719146672953,0.026108545647001942,0.00531494686565693,0.03127089588048982,0.032903125582067656,-0.0011953848198485919,-0.00391038904298168,0.0178191890711702,0.012885770983880003,0.022256057754916576
