Date,AAPL,ABNB,AMZN,BA,GOOGL,HPQ,MCD,MSFT,NVDA,TSLA,^GSPC
2021-01-04,125.63249969482422,139.14999389648438,159.3314971923828,202.72000122070312,85.49298095703125,19.58531951904297,183.93199157714844,207.56539916992188,13.046198844909668,243.2566680908203,3700.64990234375
2021-01-05,127.18580627441406,148.3000030517578,160.92550659179688,211.6300048828125,86.18241882324219,19.869638442993164,185.03445434570312,207.76560974121094,13.335953712463379,245.0366668701172,3726.860107421875
2021-01-06,122.90451049804688,142.77000427246094,156.91900634765625,211.02999877929688,85.3320083618164,20.27580451965332,184.61448669433594,202.3783721923828,12.549758911132812,251.9933319091797,3748.139892578125
2021-01-07,127.09839630126953,151.27000427246094,158.10800170898438,212.7100067138672,87.88075256347656,20.91754722595215,185.47189331054688,208.13748168945312,13.275516510009766,272.0133361816406,3803.7900390625
2021-01-08,128.1954345703125,149.77000427246094,159.13499450683594,209.89999389648438,89.04419708251953,20.738834381103516,188.87545776367188,209.40562438964844,13.208609580993652,293.3399963378906,3824.679931640625
2021-01-11,125.21504211425781,148.1300048828125,155.7104949951172,206.7899932861328,86.98674774169922,20.941919326782227,187.44052124023438,207.3746795654297,13.551589965820312,270.39666748046875,3799.610107421875
2021-01-12,125.0403060913086,160.8000030517578,156.04150390625,208.41000366210938,86.05264282226562,21.047521591186523,185.13941955566406,204.93374633789062,13.41554069519043,283.14666748046875,3801.18994140625
2021-01-13,127.06926727294922,169.99000549316406,158.29449462890625,207.2100067138672,86.53902435302734,20.885053634643555,185.5681610107422,206.27816772460938,13.462297439575195,284.8033447265625,3809.840087890625
2021-01-14,125.1470947265625,180.5,156.37350463867188,209.91000366210938,85.73020935058594,20.81194496154785,182.42709350585938,203.112548828125,13.1325044631958,281.6666564941406,3795.5400390625
2021-01-15,123.42875671386719,169.27000427246094,155.21249389648438,204.32000732421875,85.56676483154297,20.446393966674805,183.6608123779297,202.75978088378906,12.793501853942871,275.38665771484375,3768.25
2021-01-19,124.09864044189453,173.69000244140625,156.03799438476562,210.7100067138672,88.38248443603516,20.422025680541992,182.9432830810547,206.37351989746094,12.958401679992676,281.51666259765625,3798.909912109375
2021-01-20,128.17605590820312,161.8300018310547,163.16900634765625,211.4499969482422,93.117431640625,20.470767974853516,186.91558837890625,213.9060821533203,13.29715347290039,283.48333740234375,3851.85009765625
2021-01-21,132.87477111816406,180.39999389648438,165.34950256347656,207.41000366210938,93.31948852539062,20.600738525390625,186.82809448242188,214.5067901611328,13.796326637268066,281.663330078125,3853.070068359375
2021-01-22,135.01048278808594,181.8699951171875,164.6114959716797,205.83999633789062,93.73602294921875,20.527629852294922,186.69688415527344,215.44117736816406,13.642122268676758,282.21331787109375,3841.469970703125
2021-01-25,138.74813842773438,177.52999877929688,164.6999969482422,203.36000061035156,93.82123565673828,20.324546813964844,186.661865234375,218.85470581054688,13.583175659179688,293.6000061035156,3855.360107421875
2021-01-26,138.98114013671875,192.74000549316406,166.30650329589844,202.05999755859375,94.49828338623047,19.999610900878906,188.44679260253906,221.5244903564453,13.366297721862793,294.36334228515625,3849.6201171875
2021-01-27,137.91326904296875,201.25,161.62899780273438,194.02999877929688,90.08973693847656,20.186450958251953,181.1147003173828,222.06793212890625,12.851451873779297,288.0533447265625,3750.77001953125
